Section,Index,X_mm,Y_mm,Z_mm,FHNode_InternalName,Label,SegWidth_mm,SegHeight_mm
Section-2,71,-20.73568247,12.41451888,1.0,FHNode170,Section-2_Node_71,0.25,0.035
Section-2,72,-22.1311908,9.68561103,1.0,FHNode171,Section-2_Node_72,0.25,0.035
Section-2,73,-23.16957465,6.80320095,1.0,FHNode172,Section-2_Node_73,0.25,0.035
Section-2,74,-23.83443085,3.81377864,1.0,FHNode173,Section-2_Node_74,0.25,0.035
Section-2,75,-24.11537807,0.76551652,1.0,FHNode174,Section-2_Node_75,0.25,0.035
Section-2,76,-24.00821868,-2.29250692,1.0,FHNode175,Section-2_Node_76,0.25,0.035
Section-2,77,-23.51500116,-5.31109723,1.0,FHNode176,Section-2_Node_77,0.25,0.035
Section-2,78,-22.6439819,-8.2417354,1.0,FHNode177,Section-2_Node_78,0.25,0.035
Section-2,79,-21.40948719,-11.03735777,1.0,FHNode178,Section-2_Node_79,0.25,0.035
Section-2,80,-19.83167769,-13.6531118,1.0,FHNode179,Section-2_Node_80,0.25,0.035
Section-2,81,-17.93621929,-16.04707566,1.0,FHNode180,Section-2_Node_81,0.25,0.035
Section-2,82,-15.75386561,-18.1809301,1.0,FHNode181,Section-2_Node_82,0.25,0.035
Section-2,83,-13.31995911,-20.02057182,1.0,FHNode182,Section-2_Node_83,0.25,0.035
Section-2,84,-10.67385872,-21.53665844,1.0,FHNode183,Section-2_Node_84,0.25,0.035
Section-2,85,-7.85830338,-22.70507649,1.0,FHNode184,Section-2_Node_85,0.25,0.035
Section-2,86,-4.91872176,-23.50732491,1.0,FHNode185,Section-2_Node_86,0.25,0.035
Section-2,87,-1.90249928,-23.9308079,1.0,FHNode186,Section-2_Node_87,0.25,0.035
Section-2,88,1.14178575,-23.96903255,1.0,FHNode187,Section-2_Node_88,0.25,0.035
Section-2,89,4.16514448,-23.62170819,1.0,FHNode188,Section-2_Node_89,0.25,0.035
Section-2,90,7.11896592,-22.89474579,1.0,FHNode189,Section-2_Node_90,0.25,0.035
Section-2,91,9.95579844,-21.80015771,1.0,FHNode190,Section-2_Node_91,0.25,0.035
Section-2,92,12.63011212,-20.35585932,1.0,FHNode191,Section-2_Node_92,0.25,0.035
Section-2,93,15.09902946,-18.58537588,1.0,FHNode192,Section-2_Node_93,0.25,0.035
Section-2,94,17.32301283,-16.51745937,1.0,FHNode193,Section-2_Node_94,0.25,0.035
Section-2,95,19.26649761,-14.18562165,1.0,FHNode194,Section-2_Node_95,0.25,0.035
Section-2,96,20.89846092,-11.62759139,1.0,FHNode195,Section-2_Node_96,0.25,0.035
Section-2,97,22.19291676,-8.88470363,1.0,FHNode196,Section-2_Node_97,0.25,0.035
Section-2,98,23.12932977,-6.00123189,1.0,FHNode197,Section-2_Node_98,0.25,0.035
Section-2,99,23.6929409,-3.02367354,1.0,FHNode198,Section-2_Node_99,0.25,0.035
Section-2,100,23.875,-0.0,1.0,FHNode199,Section-2_Node_100,0.25,0.035
Section-3,1,23.875,0.0,2.0,FHNode200,Section-3_Node_1,0.25,0.035
Section-3,2,23.6929409,3.02367354,2.0,FHNode201,Section-3_Node_2,0.25,0.035
Section-3,3,23.12932977,6.00123189,2.0,FHNode202,Section-3_Node_3,0.25,0.035
Section-3,4,22.19291676,8.88470363,2.0,FHNode203,Section-3_Node_4,0.25,0.035
Section-3,5,20.89846092,11.62759139,2.0,FHNode204,Section-3_Node_5,0.25,0.035
Section-3,6,19.26649761,14.18562165,2.0,FHNode205,Section-3_Node_6,0.25,0.035
Section-3,7,17.32301283,16.51745937,2.0,FHNode206,Section-3_Node_7,0.25,0.035
Section-3,8,15.09902946,18.58537588,2.0,FHNode207,Section-3_Node_8,0.25,0.035
Section-3,9,12.63011212,20.35585932,2.0,FHNode208,Section-3_Node_9,0.25,0.035
Section-3,10,9.95579844,21.80015771,2.0,FHNode209,Section-3_Node_10,0.25,0.035
Section-3,11,7.11896592,22.89474579,2.0,FHNode210,Section-3_Node_11,0.25,0.035
Section-3,12,4.16514448,23.62170819,2.0,FHNode211,Section-3_Node_12,0.25,0.035
Section-3,13,1.14178575,23.96903255,2.0,FHNode212,Section-3_Node_13,0.25,0.035
Section-3,14,-1.90249928,23.9308079,2.0,FHNode213,Section-3_Node_14,0.25,0.035
Section-3,15,-4.91872176,23.50732491,2.0,FHNode214,Section-3_Node_15,0.25,0.035
Section-3,16,-7.85830338,22.70507649,2.0,FHNode215,Section-3_Node_16,0.25,0.035
Section-3,17,-10.67385872,21.53665844,2.0,FHNode216,Section-3_Node_17,0.25,0.035
Section-3,18,-13.31995911,20.02057182,2.0,FHNode217,Section-3_Node_18,0.25,0.035
Section-3,19,-15.75386561,18.1809301,2.0,FHNode218,Section-3_Node_19,0.25,0.035
Section-3,20,-17.93621929,16.04707566,2.0,FHNode219,Section-3_Node_20,0.25,0.035
Section-3,21,-19.83167769,13.6531118,2.0,FHNode220,Section-3_Node_21,0.25,0.035
Section-3,22,-21.40948719,11.03735777,2.0,FHNode221,Section-3_Node_22,0.25,0.035
